,date,Unnamed: 0,Actual,Goal
0,2019-06-08,Sat,13103,7500
1,2019-06-09,Sun,8350,7800
2,2019-06-10,Mon,4919,7890
3,2019-06-11,Tue,8155,7750
4,2019-06-12,Wed,10374,7810
5,2019-06-13,Thu,3952,8130
6,2019-06-14,Fri,4883,7930
7,2019-06-15,Sat,1261,7540
8,2019-06-16,Sun,15241,7170
9,2019-06-17,Mon,6083,7600
10,2019-06-18,Tue,9838,7530
11,2019-06-19,Wed,9814,7840
12,2019-06-20,Thu,4687,8140
13,2019-06-21,Fri,8361,7970
14,2019-06-22,Sat,23324,8030
15,2019-06-23,Sun,11039,8360
16,2019-06-24,Mon,9828,8700
17,2019-06-25,Tue,20071,8870
18,2019-06-26,Wed,9757,9230
19,2019-06-27,Thu,7195,9310
20,2019-06-28,Fri,14154,9210
21,2019-06-29,Sat,12793,9580
22,2019-06-30,Sun,22120,9970
23,2019-07-01,Mon,5538,10370
24,2019-07-02,Tue,18031,10130
25,2019-07-03,Wed,7709,10340
26,2019-07-04,Thu,7701,10210
27,2019-07-05,Fri,4884,9450
28,2019-07-06,Sat,23826,8980
29,2019-07-07,Sun,11560,9340
30,2019-07-08,Mon,7058,9680
31,2019-07-09,Tue,8856,9550
32,2019-07-10,Wed,13769,9310
33,2019-07-11,Thu,6912,9690
34,2019-07-12,Fri,10482,9560
35,2019-07-13,Sat,23308,9700
36,2019-07-14,Sun,7376,10090
37,2019-07-15,Mon,7248,9960
38,2019-07-16,Tue,2303,9470
39,2019-07-17,Wed,10975,9000
40,2019-07-18,Thu,4777,9300
41,2019-07-19,Fri,3990,9080
42,2019-07-20,Sat,21556,8630
43,2019-07-21,Sun,13853,8980
44,2019-07-22,Mon,5124,9340
45,2019-07-23,Tue,14488,9130
46,2019-07-24,Wed,10575,9500
47,2019-07-25,Thu,5794,9670
48,2019-07-26,Fri,6629,9480
49,2019-07-27,Sat,15087,9010
50,2019-07-28,Sun,15562,9370
51,2019-07-29,Mon,1790,9750
52,2019-07-30,Tue,3526,9360
53,2019-07-31,Wed,6192,8900
54,2019-08-01,Thu,10170,8460
55,2019-08-02,Fri,10058,8720
56,2019-08-03,Sat,14178,8920
57,2019-08-04,Sun,14016,9280
58,2019-08-05,Mon,4185,9660
59,2019-08-06,Tue,3008,9390
60,2019-08-07,Wed,8326,8920
61,2019-08-08,Thu,5237,8720
62,2019-08-09,Fri,10912,8290
63,2019-08-10,Sat,2550,8630
64,2019-08-11,Sun,24277,8330
65,2019-08-12,Mon,11940,8670
66,2019-08-13,Tue,7985,9020
67,2019-08-14,Wed,11889,8970
68,2019-08-15,Thu,9884,9330
69,2019-08-16,Fri,14712,9420
70,2019-08-17,Sat,15714,9800
71,2019-08-18,Sun,6853,10200
72,2019-08-19,Mon,8392,10040
73,2019-08-20,Tue,5009,9470
74,2019-08-21,Wed,8604,9000
75,2019-08-22,Thu,9748,8870
76,2019-08-23,Fri,12594,9010
77,2019-08-24,Sat,5276,9370
78,2019-08-25,Sun,8158,9170
79,2019-08-26,Mon,13729,8820
80,2019-08-27,Tue,7671,9180
81,2019-08-28,Wed,8239,9110
82,2019-08-29,Thu,12669,8810
83,2019-08-30,Fri,4523,9170
84,2019-08-31,Sat,11819,8940
85,2019-09-01,Sun,6883,9300
86,2019-09-02,Mon,13412,9180
87,2019-09-03,Tue,4806,9550
88,2019-09-04,Wed,8901,9320
89,2019-09-05,Thu,15306,9180
90,2019-09-06,Fri,17127,9550
91,2019-09-07,Sat,8793,9940
92,2019-09-08,Sun,8836,9890
93,2019-09-09,Mon,15345,9530
94,2019-09-10,Tue,6918,9920
95,2019-09-11,Wed,10038,9770
96,2019-09-12,Thu,16626,9820
97,2019-09-13,Fri,9076,10220
98,2019-09-14,Sat,10781,10170
99,2019-09-15,Sun,13697,10200
100,2019-09-16,Mon,8694,10380
101,2019-09-17,Tue,10102,10300
102,2019-09-18,Wed,6240,10230
103,2019-09-19,Thu,5035,9470
104,2019-09-20,Fri,11065,9000
105,2019-09-21,Sat,9724,9310
106,2019-09-22,Sun,9741,9380
107,2019-09-23,Mon,9201,9440
108,2019-09-24,Tue,3873,9430
109,2019-09-25,Wed,6193,8960
110,2019-09-26,Thu,3483,8520
111,2019-09-27,Fri,10156,8100
112,2019-09-28,Sat,7814,8410
113,2019-09-29,Sun,1670,8380
114,2019-09-30,Mon,4769,7970
115,2019-10-01,Tue,8636,7580
116,2019-10-02,Wed,8375,7740
117,2019-10-03,Thu,9224,7840
118,2019-10-04,Fri,6057,8050
119,2019-10-05,Sat,4202,7950
120,2019-10-06,Sun,8101,7560
121,2019-10-07,Mon,15188,7650
122,2019-10-08,Tue,10008,7960
123,2019-10-09,Wed,8060,8270
124,2019-10-10,Thu,6210,8260
125,2019-10-11,Fri,5736,7850
126,2019-10-12,Sat,1844,7460
127,2019-10-13,Sun,11210,7090
128,2019-10-14,Mon,15542,7520
129,2019-10-15,Tue,6925,7820
130,2019-10-16,Wed,7876,7780
131,2019-10-17,Thu,343,7820
132,2019-10-18,Fri,3819,7820
133,2019-10-19,Sat,4235,7620
134,2019-10-20,Sun,7175,7240
135,2019-10-21,Mon,5744,7220
136,2019-10-22,Tue,5978,6860
137,2019-10-23,Wed,5932,6560
138,2019-10-24,Thu,4523,6340
139,2019-10-25,Fri,6714,6030
140,2019-10-26,Sat,6713,6210
141,2019-10-27,Sun,2151,6340
142,2019-10-28,Mon,4694,6130
143,2019-10-29,Tue,6278,5830
144,2019-10-30,Wed,7300,5950
145,2019-10-31,Thu,9259,6290
146,2019-11-01,Fri,11411,6670
147,2019-11-02,Sat,9562,7070
148,2019-11-03,Sun,8983,7500
149,2019-11-04,Mon,6377,7730
150,2019-11-05,Tue,8182,7670
151,2019-11-06,Wed,5787,7750
152,2019-11-07,Thu,6312,7660
153,2019-11-08,Fri,6790,7280
154,2019-11-09,Sat,4705,7110
155,2019-11-10,Sun,3861,6760
156,2019-11-11,Mon,5279,5530
157,2019-11-12,Tue,5056,5450
158,2019-11-13,Wed,6145,5320
159,2019-11-14,Thu,5773,5530
160,2019-11-15,Fri,9308,5590
161,2019-11-16,Sat,7157,5930
162,2019-11-17,Sun,6291,6240
163,2019-11-18,Mon,3906,6280
164,2019-11-19,Tue,4745,6170
165,2019-11-20,Wed,9157,5870
166,2019-11-21,Thu,5867,6230
167,2019-11-22,Fri,8370,6220
168,2019-11-23,Sat,7097,6600
169,2019-11-24,Sun,6428,6730
170,2019-11-25,Mon,7924,6720
171,2019-11-26,Tue,286,7030
172,2019-11-27,Wed,5152,7030
173,2019-11-28,Thu,5095,6940
174,2019-11-29,Fri,4637,6600
175,2019-11-30,Sat,3686,6270
176,2019-12-01,Sun,11449,5960
177,2019-12-02,Mon,4914,6320
178,2019-12-03,Tue,5637,6250
179,2019-12-04,Wed,6176,6040
180,2019-12-05,Thu,5094,6080
181,2019-12-06,Fri,4145,6030
182,2019-12-07,Sat,16334,5730
183,2019-12-08,Sun,9053,6080
184,2019-12-09,Mon,7232,6450
185,2019-12-10,Tue,9647,6650
186,2019-12-11,Wed,5151,7050
187,2019-12-12,Thu,4173,6960
188,2019-12-13,Fri,5577,6620
189,2019-12-14,Sat,12314,6290
190,2019-12-15,Sun,9163,6670
191,2019-12-16,Mon,250,7070
192,2019-12-17,Tue,1953,7070
193,2019-12-18,Wed,6375,6820
194,2019-12-19,Thu,5512,6670
195,2019-12-20,Fri,3484,6340
196,2019-12-21,Sat,19033,6030
197,2019-12-22,Sun,11922,6400
198,2019-12-23,Mon,10622,6790
199,2019-12-24,Tue,6919,7200
200,2019-12-25,Wed,8163,7190
201,2019-12-26,Thu,7794,7440
202,2019-12-27,Fri,7958,7530
203,2019-12-28,Sat,1206,7600
204,2019-12-29,Sun,9945,7280
205,2019-12-30,Mon,8824,7720
206,2019-12-31,Tue,2845,7890
207,2020-01-01,Wed,1357,7640
208,2020-01-02,Thu,10032,7260
209,2020-01-03,Fri,7702,7700
210,2020-01-04,Sat,6662,7740
211,2020-01-05,Sun,22,7690
